x_pos,y_pos,x_vel,y_vel,angle,angular_vel,action,next_x_pos,next_y_pos,next_x_vel,next_y_vel,next_angle,next_angular_vel,reward,done
-0.3843898,0.7596411,-0.10868324,-0.44758436,-0.39276555,-0.0070676194,2,-0.38541454,0.74970347,-0.10160384,-0.44191048,-0.39370194,-0.018728046,1.1600963181931945,False
-0.38541454,0.74970347,-0.10160384,-0.44191048,-0.39370194,-0.018728046,2,-0.3862245,0.74020386,-0.07982849,-0.42252743,-0.39494786,-0.024918355,2.725503103884546,False
-0.3862245,0.74020386,-0.07982849,-0.42252743,-0.39494786,-0.024918355,1,-0.3870987,0.7301511,-0.08801999,-0.4466153,-0.3943046,0.012865022,-1.6370388922333905,False
-0.3870987,0.7301511,-0.08801999,-0.4466153,-0.3943046,0.012865022,2,-0.3878216,0.72004426,-0.07289531,-0.4490299,-0.39366177,0.012856802,0.651407181237414,False
-0.3878216,0.72004426,-0.07289531,-0.4490299,-0.39366177,0.012856802,2,-0.38837776,0.71041775,-0.05568876,-0.4278262,-0.39358371,0.0015613107,2.874681468861934,False
-0.38837776,0.71041775,-0.05568876,-0.4278262,-0.39358371,0.0015613107,2,-0.38852254,0.7011599,-0.015122441,-0.4112792,-0.39289415,0.0137914065,2.5608549553299556,False
-0.38852254,0.7011599,-0.015122441,-0.4112792,-0.39289415,0.0137914065,1,-0.38873076,0.69133645,-0.02312212,-0.43596256,-0.39043793,0.049124546,-1.4385761875464584,False
-0.38873076,0.69133645,-0.02312212,-0.43596256,-0.39043793,0.049124546,2,-0.38853708,0.68194216,0.01658657,-0.4167714,-0.38747033,0.05935201,2.7712533046711885,False
-0.38853708,0.68194216,0.01658657,-0.4167714,-0.38747033,0.05935201,1,-0.3884276,0.67199093,0.0059794593,-0.44093254,-0.38217863,0.10583429,-1.0194559421012162,False
-0.3884276,0.67199093,0.0059794593,-0.44093254,-0.38217863,0.10583429,2,-0.3882048,0.6625238,0.018014606,-0.41962302,-0.3776466,0.09064086,3.078998591107859,False
-0.3882048,0.6625238,0.018014606,-0.41962302,-0.3776466,0.09064086,2,-0.3878664,0.6534004,0.030113805,-0.4045053,-0.37368965,0.07913917,2.337219000182796,False
-0.3878664,0.6534004,0.030113805,-0.4045053,-0.37368965,0.07913917,1,-0.3875916,0.64371073,0.02207925,-0.42925808,-0.36797088,0.11437534,-1.0324326879950252,False
-0.3875916,0.64371073,0.02207925,-0.42925808,-0.36797088,0.11437534,2,-0.3870898,0.6346144,0.045097645,-0.40298328,-0.3625956,0.10750584,3.4741366025628624,False
-0.3870898,0.6346144,0.045097645,-0.40298328,-0.3625956,0.10750584,2,-0.38629246,0.62592643,0.07446618,-0.38480502,-0.35704556,0.111000754,2.392706779684528,False
-0.38629246,0.62592643,0.07446618,-0.38480502,-0.35704556,0.111000754,1,-0.38556617,0.6166745,0.06549859,-0.40945074,-0.34954613,0.14998768,-0.7270663125948704,False
-0.38556617,0.6166745,0.06549859,-0.40945074,-0.34954613,0.14998768,2,-0.3844854,0.6078169,0.10046351,-0.3918387,-0.3415566,0.15979108,2.3206804594924906,False
-0.3844854,0.6078169,0.10046351,-0.3918387,-0.3415566,0.15979108,2,-0.3832609,0.59960234,0.115436435,-0.36345026,-0.334224,0.14665243,3.5092246184245655,False
-0.3832609,0.59960234,0.115436435,-0.36345026,-0.334224,0.14665243,1,-0.38210434,0.59082216,0.10684452,-0.38821474,-0.32503018,0.18387595,-0.44026387107800136,False
-0.38210434,0.59082216,0.10684452,-0.38821474,-0.32503018,0.18387595,2,-0.38062602,0.58229643,0.13845187,-0.37684426,-0.31526732,0.19525738,1.5892770258921416,False
-0.38062602,0.58229643,0.13845187,-0.37684426,-0.31526732,0.19525738,2,-0.37912002,0.57394236,0.1417755,-0.36939967,-0.30612043,0.18293786,1.975641383595996,False
-0.37912002,0.57394236,0.1417755,-0.36939967,-0.30612043,0.18293786,2,-0.37730557,0.5661094,0.17229132,-0.34623045,-0.2966548,0.1893129,2.2938192053716593,False
-0.37730557,0.5661094,0.17229132,-0.34623045,-0.2966548,0.1893129,1,-0.3755783,0.5577155,0.1612564,-0.37077406,-0.28484133,0.2362692,0.1855184347685406,False
-0.3755783,0.5577155,0.1612564,-0.37077406,-0.28484133,0.2362692,2,-0.37375918,0.54987377,0.1709911,-0.34642783,-0.27361733,0.22448018,3.3732058761744215,False
-0.37375918,0.54987377,0.1709911,-0.34642783,-0.27361733,0.22448018,2,-0.37167245,0.54222065,0.1971867,-0.33803213,-0.26185936,0.23515901,1.1242804389052707,False
-0.37167245,0.54222065,0.1971867,-0.33803213,-0.26185936,0.23515901,0,-0.36958537,0.5339694,0.19718206,-0.36471,-0.2501015,0.23515674,-0.3522497739513426,False
-0.36958537,0.5339694,0.19718206,-0.36471,-0.2501015,0.23515674,2,-0.3675658,0.5257307,0.19115767,-0.36436117,-0.23911297,0.21977055,1.904504833088464,False
-0.3675658,0.5257307,0.19115767,-0.36436117,-0.23911297,0.21977055,2,-0.3652032,0.5180299,0.22473323,-0.34043035,-0.22741413,0.2339768,1.9901299096024274,False
-0.3652032,0.5180299,0.22473323,-0.34043035,-0.22741413,0.2339768,2,-0.36261648,0.51073587,0.24680054,-0.32239375,-0.21540575,0.24016766,1.8360722939191134,False
-0.36261648,0.51073587,0.24680054,-0.32239375,-0.21540575,0.24016766,2,-0.35994583,0.50410885,0.2556202,-0.29291153,-0.20385233,0.23106854,3.275015638957041,False
-0.35994583,0.50410885,0.2556202,-0.29291153,-0.20385233,0.23106854,2,-0.357354,0.49752182,0.2484642,-0.2913111,-0.19305487,0.21594925,2.054835059671615,False
-0.357354,0.49752182,0.2484642,-0.2913111,-0.19305487,0.21594925,2,-0.35474387,0.4909507,0.25054914,-0.29072216,-0.18253845,0.21032807,1.3463786380239469,False
-0.35474387,0.4909507,0.25054914,-0.29072216,-0.18253845,0.21032807,2,-0.35195312,0.4845091,0.26818103,-0.28498837,-0.17160898,0.21858938,0.7242209744879744,False
-0.35195312,0.4845091,0.26818103,-0.28498837,-0.17160898,0.21858938,2,-0.34905487,0.47869313,0.27906623,-0.25727898,-0.16083464,0.215487,2.5946463802697624,False
-0.34905487,0.47869313,0.27906623,-0.25727898,-0.16083464,0.215487,2,-0.34601253,0.47335684,0.2933297,-0.23602946,-0.14993553,0.21798225,1.7069086915750915,False
-0.34601253,0.47335684,0.2933297,-0.23602946,-0.14993553,0.21798225,3,-0.3429106,0.46741462,0.3007746,-0.26317602,-0.1405376,0.18795858,-0.7433807805767703,False
-0.3429106,0.46741462,0.3007746,-0.26317602,-0.1405376,0.18795858,2,-0.33972302,0.4621824,0.30949706,-0.23169723,-0.13131307,0.18449102,2.5370960720366584,False
-0.33972302,0.4621824,0.30949706,-0.23169723,-0.13131307,0.18449102,1,-0.33662257,0.45637858,0.29851606,-0.25696853,-0.11983924,0.22947653,1.0417763130085842,False
-0.33662257,0.45637858,0.29851606,-0.25696853,-0.11983924,0.22947653,2,-0.33333683,0.45138732,0.31669146,-0.22092262,-0.10803553,0.23607437,2.2519848191158163,False
-0.33333683,0.45138732,0.31669146,-0.22092262,-0.10803553,0.23607437,2,-0.33018246,0.44648245,0.30437937,-0.21723233,-0.09706333,0.21944387,2.5979139765802133,False
-0.33018246,0.44648245,0.30437937,-0.21723233,-0.09706333,0.21944387,2,-0.32707387,0.44151458,0.30016977,-0.22013663,-0.086461745,0.21203189,1.5152288654566461,False
-0.32707387,0.44151458,0.30016977,-0.22013663,-0.086461745,0.21203189,1,-0.32404527,0.43595862,0.29010847,-0.24624263,-0.073834546,0.2525439,1.030911170092396,False
-0.32404527,0.43595862,0.29010847,-0.24624263,-0.073834546,0.2525439,2,-0.3209899,0.43072766,0.2928627,-0.2319083,-0.061294053,0.25080985,2.252084522492635,False
-0.3209899,0.43072766,0.2928627,-0.2319083,-0.061294053,0.25080985,3,-0.3178621,0.4248923,0.30194312,-0.2589369,-0.050577052,0.21434,-0.7238175615319438,False
-0.3178621,0.4248923,0.30194312,-0.2589369,-0.050577052,0.21434,2,-0.31474495,0.4191071,0.3010232,-0.25679055,-0.04001048,0.21133149,1.6159484438157363,False
-0.31474495,0.4191071,0.3010232,-0.25679055,-0.04001048,0.21133149,2,-0.31149188,0.41374442,0.3141006,-0.23807845,-0.02894217,0.2213661,1.5848950619971418,False
-0.31149188,0.41374442,0.3141006,-0.23807845,-0.02894217,0.2213661,2,-0.30821234,0.40865758,0.31670228,-0.22590123,-0.017829409,0.22225514,1.9267853193752102,False
-0.30821234,0.40865758,0.31670228,-0.22590123,-0.017829409,0.22225514,2,-0.3049631,0.40378183,0.31385136,-0.21660186,-0.006901401,0.2185601,2.145239173704522,False
-0.3049631,0.40378183,0.31385136,-0.21660186,-0.006901401,0.2185601,3,-0.3016407,0.3982971,0.3230369,-0.24375406,0.0021857722,0.18174365,-1.2550933837924834,False
-0.3016407,0.3982971,0.3230369,-0.24375406,0.0021857722,0.18174365,2,-0.29834422,0.39355397,0.32055315,-0.21084717,0.011162236,0.1795294,1.4797852470269504,False
-0.29834422,0.39355397,0.32055315,-0.21084717,0.011162236,0.1795294,2,-0.29518956,0.38933602,0.30699593,-0.18754932,0.019522173,0.16719875,1.7836133510186982,False
-0.29518956,0.38933602,0.30699593,-0.18754932,0.019522173,0.16719875,3,-0.2919495,0.38452807,0.3177158,-0.21378182,0.025732499,0.1242065,-2.3913850815889917,False
-0.2919495,0.38452807,0.3177158,-0.21378182,0.025732499,0.1242065,2,-0.28884602,0.3805642,0.30457824,-0.1762791,0.031426415,0.1138785,2.737139166945309,False
-0.28884602,0.3805642,0.30457824,-0.1762791,0.031426415,0.1138785,2,-0.28588995,0.37697256,0.29043767,-0.15974617,0.036533993,0.10215155,1.6981942168985398,False
-0.28588995,0.37697256,0.29043767,-0.15974617,0.036533993,0.10215155,3,-0.28286308,0.37277892,0.29930854,-0.18646735,0.039867032,0.0666608,-1.9632833134188974,False
-0.28286308,0.37277892,0.29930854,-0.18646735,0.039867032,0.0666608,2,-0.2797429,0.36939055,0.30803472,-0.15070711,0.04380412,0.07874189,0.7363370385486234,False
-0.2797429,0.36939055,0.30803472,-0.15070711,0.04380412,0.07874189,2,-0.2768213,0.36634693,0.28897184,-0.13537021,0.04695179,0.06295328,2.1860118788146226,False
-0.2768213,0.36634693,0.28897184,-0.13537021,0.04695179,0.06295328,3,-0.2738123,0.3627027,0.2999337,-0.16199325,0.04790591,0.019082382,-1.8308990645981271,False
-0.2738123,0.3627027,0.2999337,-0.16199325,0.04790591,0.019082382,2,-0.27084738,0.3599086,0.2955167,-0.12421244,0.04887091,0.019300088,2.0374841841084903,False
-0.27084738,0.3599086,0.2955167,-0.12421244,0.04887091,0.019300088,2,-0.26799616,0.35719407,0.28457278,-0.12066625,0.049413428,0.0108503755,1.180192153496759,False
-0.26799616,0.35719407,0.28457278,-0.12066625,0.049413428,0.0108503755,2,-0.26527008,0.35452232,0.27254587,-0.118745096,0.049476366,0.0012587301,1.251806153391908,False
